Chemical,Synonyms,Category,FORMULA,CAS,Mass (Daltons),ComponentType,molType,Is Soluble,Solubility,Is_HAZARD,CODE,Risk No.,Safety phrases,"Flammable,Toxic/IrritantCorrosive",RefSampleName,SampleCategory,
ammonium sulphate,ammonium sulfate; (NH4)2SO4,"Precipitant,Salt",(NH4)2SO4,7783-20-2,132.14,MolComp,other,Y,,Y,2,R36/37/38,"S26,S36",Xi,Ammonium sulphate,Chemical/Biochemical
ammonium tartrate dibasic,"diammonium tartrate; di-ammonium tartrate; L-(+)-tartaric acid,diammonium salt ",Additive,(NH4)2C4H4O6,3164-29-2,184.15,MolComp,other,Y,,,1,,,,Ammonium tartrate dibasic,Chemical/Biochemical,
ammonium trifluoroacetate,"trifluoroacetic acid,ammonium salt ",Additive,CF3COONH4,3336-58-1,131.05,MolComp,other,Y,,,,R36/37/38,"S26,S36",Xi,Ammonium trifluoroacetate,Chemical/Biochemical
ammonium thiocyanate,ammonium rhodanide,Additive,NH4SCN,1762-95-4,76.12,MolComp,other,Y,,Y,3,"R20/21/22,R32",S13,Xn,Ammonium thiocyanate,Chemical/Biochemical
ampicillin (sodium),,Antibiotic,C16H18N3NaO4S,69-52-3,371.4,MolComp,other,Y,,Y,3,"R36/37/38,R42/43","S22,S26,S36/37",Xn,Ampicillin (sodium),"Antibiotic,Chemical/Biochemical"
AMPSO,"3-[(1,1-dimethyl-2-hydroxyethyl)amino]-2-hydroxypropanesulfonic acid",Buffering agent,C7H17NO5S,68399-79-1,227.28,MolComp,other,Y,,,,,,,AMPSO,"Buffer,Buffering Agent,Chemical/Biochemical"
aniline,,StainsAndDyes,C6H7N,62-53-3,93.13,MolComp,other,Y,,Y,3,"R20/21/22,R40,R48,R23/24/25,R50","S28,S36/37,S45,S61","Xn,T,N",Aniline,Chemical/Biochemical
8-anilino-1-naphthalene sulphonic acid (ammonium salt),ANS,StainsAndDyes,C16H16N2O3S,28836-03-5,316.37,MolComp,other,Y,,Y,2,"R22,R36/37/38","S37/39,S26","Xn,Xi",8-Anilino-1-naphthalene sulphonic acid (ammonium salt),Stains and Dyes,
L-arginine,,Amino acid,C6H14N4O2,74-79-3,174.2,MolComp,other,Y,,,,,,,L-Arginine,Chemical/Biochemical
L-ascorbic acid,,Vitamin,C6H8O6,58-81-7,176.12,MolComp,other,Y,,,,,,,L-Ascorbic acid,Vitamins and Derivatives
L-asparagine,,Amino acid,C4H8N2O3,70-47-3,132.1,MolComp,other,Y,,,,,,,L-Asparagine,Chemical/Biochemical
L-aspartic acid,,Amino acid,C4H7NO4,56-84-8,133.1,MolComp,other,Y,,,,,"S22,S24/25",,L-Aspartic acid,Chemical/Biochemical
azelaic acid,nonanedioic acid,"Inhibitor,Preservative",HO2C(CH2)7CO2H,123-99-9,128.22,MolComp,other,Y,,Y,2,,,,Azelaic acid,"Inhibitor,Chemical/Biochemical"
barbital,"5,5-diethyl-2,4,6(1H,3H,5H)-pyrimidinetrione; 5,5-diethylbarbituric acid; barbitone; veronal",Inhibitor,C8H12N2O3,57-44-3,184.19,MolComp,other,Y,,Y,2,R22,"S36,S37",Xn,Barbital,"Inhibitor,Chemical/Biochemical"
barium acetate,,Salt,(CH3COO)2Ba,543-80-6,255.4,MolComp,other,Y,,Y,2,R20/22,S28,Xn,Barium acetate,Chemical/Biochemical
barium chloride,barium dichloride,Additive,BaCl2,106361-37-2,208.23,MolComp,other,Y,,Y,2,"R20,R25",S45,T,Barium chloride,Chemical/Biochemical
barium nitrate,,Salt,Ba(NO3)2,10022-31-8,261.34,MolComp,other,Y,,Y,,"R8,R20/22",S28,"O,Xn",Barium nitrate,Chemical/Biochemical
barium thiocyanate trihydrate,,Salt,C2BaN2S2.xH2O,304676-17-3,253.49,MolComp,other,Y,,Y,3,"R20/21/22,R32",S13,Xn,Barium thiocyanate trihydrate,Chemical/Biochemical
benzamidine hydrochloride hydrate,amidinobenzene hydrochloride; benzamidinium chloride; benzenecarboximidamide hydrochloride,"Inhibitor,Additive",C6H5C(=NH)NH2.HCl.xH2O,206752-36-5,156.61,MolComp,other,Y,,Y,2,R36/37/38,"S26,S36",Xi,Benzamidine hydrochloride hydrate,"Inhibitor,Chemical/Biochemical"
benzamidine hydrochloride,,Additive,C6H5C(=NH)NH2.HCl,1669-14-0,157.61,MolComp,other,Y,,Y,,R36/37/38,"S26,S36",Xi,Benzamidine hydrochloride,"Inhibitor,Chemical/Biochemical"
benzenesulphonic acid,phenolsulphonic acid; benzenesulfaonic acid,Salt,C6H6O3S,98-11-3,158.18,MolComp,other,Y,,Y,2,"R22,R34","S26,S36/37/39,S45",C,Benzenesulphonic acid,Chemical/Biochemical
benzoic acid,carboxybenzene,Preservative,C6H5COOH,65-85-0,122.12,MolComp,other,Y,,Y,2,"R22,R36",S26,Xn,Benzoic acid,Chemical/Biochemical
BES,,Buffering agent,C6H15NO5S,10191-18-1,213.3,MolComp,other,Y,,,1,R36/37/38,S26,Xi,BES,"Buffer,Buffering Agent,Chemical/Biochemical"
beryllium sulphate tetrahydrate,,Additive,BeSO4.4H2O,7787-56-6,177.14,MolComp,other,Y,,,,"R49,R25,R26,R36/37/38,R43,R48/23,R51/53","S53,S45,S61","T+,N",Beryllium sulphate tetrahydrate,Chemical/Biochemical
betaine,oxyneurine; (carboxymethyl)trimethylammonium inner salt; glycine betaine,Additive,(CH3)3N+CH2COO,107-43-7,117.15,MolComp,other,Y,,,,,,,Betaine,Chemical/Biochemical
