name,details,category,expTypes,catNum,supplier,dpURL
BIO-X-ACT Buffer,,Buffer,PCR,BIO-25025,Bioline Ltd,http://www.bioline.com/h_prod_detail.asp?user_prodname=BIO%2DX%2DACT%99+Short+Mix
,,,,,,
HyperLadder I,,Marker,Gel,BIO-33025,Bioline Ltd,http://www.bioline.com/n_uk.htm
HyperLadder II,,Marker,Gel,BIO-33039,Bioline Ltd,http://www.bioline.com/n_uk.htm
1kbp ladder,,Marker,Gel,G5711,Promega,http://www.promega.com/techserv/apps/cloning/cloning4.htm
100bp ladder,,Marker,Gel,G2101,Promega,http://www.promega.com/techserv/apps/cloning/cloning4.htm
,,,,,,
dATP 25umol,,Nucleotide,PCR,BIO-39036,Bioline Ltd,http://www.bioline.com/n_uk.htm
dCTP 25umol,,Nucleotide,PCR,BIO-39038,Bioline Ltd,http://www.bioline.com/n_uk.htm
dGTP 25umol,,Nucleotide,PCR,BIO-39037,Bioline Ltd,http://www.bioline.com/n_uk.htm
dTTP 25umol,,Nucleotide,PCR,BIO-39039,Bioline Ltd,http://www.bioline.com/n_uk.htm
dNTP mix 10mM,,Nucleotide,PCR,U1511,Promega,http://www.promega.com/search/Default.aspx?indexes=0&page=1&query=U1511
dATP 25 mM,,Nucleotide,LIC polymerase reaction,,,
dTTP 25 mM,,Nucleotide,LIC vector preparation,,,
KOD dNTP Mix,included in KOD HiFi Kit,Nucleotide,PCR,71086,Novagen,http://www.merckbiosciences.co.uk/product/71086
BIO-X-ACT dNTP Mix,,Nucleotide,PCR,BIO-39028,Bioline Ltd,http://www.bioline.com/h_prod_detail.asp?user_prodname=dNTP+Mix
,,,,,,
,,,,,,
pET Duet,,Vector,Cloning / Ligation,71146,Novagen,http://www.emdbiosciences.com/product/71146
,,,,,,
PCR Cloning kit with Gateway technology,,Cloning kit,Cloning / Ligation,12535,Invitrogen/Life Technologies,http://www.invitrogen.com/search.cfm?category=&searchterm=12535
Zero Blunt PCR Cloning Kit,,Cloning kit,Cloning / Ligation,K2700,Invitrogen/Life Technologies,http://www.invitrogen.com/search.cfm?category=&searchterm=K2700
Topo TA,,Cloning kit,Cloning / Ligation,K4500,Invitrogen/Life Technologies,http://www.invitrogen.com/search.cfm?category=&searchterm=K4500
Zero Blunt TOPO PCR Cloning Kit,,Cloning kit,Cloning / Ligation,K2800,Invitrogen/Life Technologies,http://www.invitrogen.com/search.cfm?category=&searchterm=K2800
In-Fusion CF Dry-Down PCR Cloning Kit,,Cloning kit,Cloning / Ligation,639605,Clontech,http://www.clontech.com/products/detail.asp?product_id=10406&tabno=2
Quick Change SDM kit,,Kit,PCR / SDM,200518,Stratagene,http://search.stratagene.com/?index=19012&lastq=&doc0=0&sortsel=rel&opt=ANY&query=200518
,,,,,,
Nova Blue Singles,,Competent cells,Transformation,70181,Novagen,http://www.emdbiosciences.com/product/70181
Nova Blue Giga Singles,,Competent cells,Transformation,71227,Novagen,http://www.emdbiosciences.com/product/71227
HT96 BL21(DE3),,Competent cells,Transformation,71012,Novagen,http://www.emdbiosciences.com/product/71012
HT96 NovaBlue,,Competent cells,Transformation,71011,Novagen,http://www.emdbiosciences.com/product/71011
Rosetta 2(DE3) Singles,,Competent cells,Transformation,71400,Novagen,http://www.emdbiosciences.com/product/71400
Origami (DE3) Singles,,Competent cells,Transformation,70630,Novagen,http://www.emdbiosciences.com/product/70630
Rosetta-gami 2,,Competent cells,Transformation,71350,Novagen,http://www.emdbiosciences.com/product/71350
BL21,,Competent cells,Transformation,69449,Novagen,http://www.emdbiosciences.com/product/69449
